Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Jackie Young,LVA,G,40,1259,40,1259,22.6,0.657,0.617,0.416,0.284,2.5,7.4,18.7,2,0.3,11.6,21.6,124,102,,5.5,2,7.5,0.239
Courtney Vandersloot,NYL,G,39,1187,39,1187,16.7,0.521,0.493,0.346,0.184,1.9,6.5,40,2.2,1.6,20.9,18.6,110,102,,2.6,1.9,4.5,0.151
Abby Meyers,WAS,G,9,36,9,36,8.8,0.454,0.385,0.308,0.231,3.2,6.5,0,1.4,5.2,6.5,19.5,89,102,,0,0.1,0,0.027
Ezi Magbegor,SEA,C,40,1304,40,1304,18,0.576,0.548,0.184,0.291,5.5,14,14.8,1.7,4.8,16.5,19.4,105,102,,1.8,2,3.8,0.117
Sabrina Ionescu,NYL,G,36,1134,36,1134,20.7,0.602,0.562,0.62,0.236,3.1,10.1,27.3,1.7,0.7,15.6,23.7,115,102,,3.8,1.8,5.6,0.197
Tianna Hawkins,WAS,F,40,923,40,923,14.5,0.57,0.545,0.328,0.196,7.5,12.7,10.5,1.8,1.4,14,16.6,107,102,,1.3,1.4,2.8,0.119
Dearica Hamby,LAS,F,40,990,40,990,12.8,0.491,0.446,0.134,0.418,6,14.4,12.5,1.7,1.1,13.8,19.4,96,102,,0,1.6,1.6,0.065
Napheesa Collier,MIN,F,37,1238,37,1238,24.9,0.568,0.512,0.186,0.326,6.6,14.7,15.5,2.5,3.1,11.3,28.9,109,102,,3.4,1.9,5.2,0.17
Alysha Clark,LVA,F,39,876,39,876,10.7,0.592,0.568,0.644,0.161,3,8.8,6.5,1.4,0.6,11.3,12.7,112,102,,1.3,1.3,2.6,0.118
DiJonai Carrington,CON,G-F,32,550,32,550,14.2,0.518,0.469,0.278,0.332,5.9,10,12.9,1.9,0.5,12.3,24.1,101,102,,0.5,0.8,1.3,0.097
Leigha Brown,CON,G,25,130,25,130,2.6,0.367,0.327,0.385,0.231,5.5,9.7,11.2,2,1.4,27.7,13.9,72,102,,-0.3,0.2,-0.1,-0.039
