Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Rachel Banham,MIN,G,32,435,32,435,9.7,0.514,0.5,0.648,0.085,1.1,4.3,21.1,1.3,0.6,17.4,21.5,94,111,,-0.1,0.1,0,-0.004
Lindsay Allen,MIN,G,29,698,29,698,11.3,0.48,0.42,0.209,0.325,2.8,5.9,29.3,1.2,0.4,16.6,14.5,105,111,,0.8,0.2,0.9,0.054
Liz Dixon,TOT,F,14,77,14,77,15.8,0.599,0.526,0,0.421,14.8,12,4.3,0,3.4,15.1,16,116,112,,0.2,0,0.2,0.102
Kadi Sissoko,PHO,F,40,336,40,336,1.7,0.427,0.395,0.29,0.258,6.4,11.4,3.7,0.5,1.3,27.4,13.2,73,112,,-0.8,0,-0.8,-0.091
Ashley Joens,TOT,G,19,127,19,127,5.9,0.505,0.5,0.639,0.167,0,5.3,1.3,1.2,0,11.5,15.8,87,113,,-0.1,0,-0.1,-0.037
Sug Sutton,PHO,G,40,1051,40,1051,9.6,0.464,0.43,0.274,0.174,1.7,6,30.8,1.3,0.2,21.9,20.1,90,113,,-1,-0.1,-1,-0.04
Kelsey Mitchell,IND,G,40,1349,40,1349,16.6,0.58,0.533,0.461,0.297,1.1,2.9,16.4,1.4,0.1,12.8,23.9,110,113,,3.4,-0.1,3.3,0.098
Sophie Cunningham,PHO,G,31,898,31,898,12.1,0.575,0.52,0.639,0.297,2.4,6.1,12.4,1.2,1,13.1,18.2,107,113,,1.4,-0.1,1.3,0.057
Khaalia Hillsman,CHI,C,1,1,1,1,0,,,,,0,0,0,0,0,,0,,115,,0,0,0,-0.015
Sam Thomas,PHO,G-F,1,11,1,11,-8.7,0,0,0,0,0,5.6,0,0,0,0,8.5,0,116,,-0.1,0,-0.1,-0.23
Lauren Cox,CON,F,1,0,1,0,,,,,,,,,,,,,,,,0,0,0,
