Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
45,Suzie McConnell Serio,0.537,178,104,28,1998,31,CLE,28,28,0,882,80,176,51,105,29,71,51,70,8,54,62,178,49,5,104,48,240,0.455,0.486,0.408,0.729,0.58,0.537,G,mcconsu01
46,Brandy Reed,0.537,20,33,24,1998,21,PHO,24,0,0,254,50,95,48,87,2,8,22,31,36,42,78,20,18,7,33,30,124,0.526,0.552,0.25,0.71,0.571,0.537,F,reedbr01
47,Crystal Dangerfield,0.536,75,54,21,2020,22,MIN,21,19,0,629,124,263,90,161,34,102,59,64,5,36,41,75,18,1,54,31,341,0.471,0.559,0.333,0.922,0.586,0.536,G,dangecr01
48,Nneka Ogwumike,0.536,40,42,33,2012,21,LAS,33,33,0,920,178,333,177,326,1,7,105,143,98,149,247,40,46,29,42,87,462,0.535,0.543,0.143,0.734,0.583,0.536,F,ogwumnn01
49,Eva Nemcova,0.536,67,78,28,1997,24,CLE,28,28,0,944,138,292,101,207,37,85,71,83,23,87,110,67,39,8,78,53,384,0.473,0.488,0.435,0.855,0.584,0.536,F,nemcoev01
50,Michelle Brogan,0.535,41,52,30,1998,25,PHO,30,25,0,779,93,184,82,161,11,23,78,98,45,88,133,41,44,5,52,48,275,0.505,0.509,0.478,0.796,0.605,0.535,F,brogami01
51,Candace Parker,0.535,113,93,33,2008,22,LAS,33,33,0,1109,231,442,220,416,11,26,137,187,84,229,313,113,42,75,93,91,610,0.523,0.529,0.423,0.733,0.582,0.535,F-C,parkeca01
52,Morgan Bertsch,0.534,19,30,28,2023,26,CHI,28,5,0,398,47,103,31,67,16,36,12,16,12,35,47,19,10,7,30,50,122,0.456,0.463,0.444,0.75,0.554,0.534,F,bertsmo01
53,Napheesa Collier,0.534,87,65,34,2019,22,MIN,34,34,1,1131,167,341,137,258,30,83,80,101,60,163,223,87,65,32,65,99,444,0.49,0.531,0.361,0.792,0.576,0.534,F,collina01
54,Cathy Joens,0.532,32,13,19,2007,26,CHI,19,0,0,271,31,79,9,34,22,45,11,13,6,27,33,32,17,1,13,18,95,0.392,0.265,0.489,0.846,0.561,0.532,G-F,joensca01
55,Mistie Bass,0.531,16,10,27,2006,22,HOU,27,6,0,273,34,64,34,64,0,0,11,34,29,35,64,16,11,3,10,32,79,0.531,0.531,,0.324,0.5,0.531,F,bassmi01
56,Jene Morris,0.53,12,17,25,2010,22,IND,25,0,0,196,28,66,14,28,14,38,2,3,3,11,14,12,8,2,17,28,72,0.424,0.5,0.368,0.667,0.535,0.53,G,morrije01
57,Elaine Powell,0.53,32,19,18,1999,23,ORL,18,0,0,256,17,33,16,24,1,9,12,22,9,14,23,32,9,4,19,22,47,0.515,0.667,0.111,0.545,0.551,0.53,G,powelel01
58,DeLisha Milton-Jones,0.53,50,71,32,1999,24,LAS,32,32,0,835,125,236,125,235,0,1,68,86,60,116,176,50,47,17,71,112,318,0.53,0.532,0,0.791,0.581,0.53,F,miltode01
59,Tasha Humphrey,0.529,31,45,30,2008,22,DETWAS,30,23,0,509,96,206,70,138,26,68,31,39,35,77,112,31,17,8,45,91,249,0.466,0.507,0.382,0.795,0.558,0.529,C,humphta01
60,Victoria Vivians,0.529,41,33,34,2018,23,IND,34,26,0,920,105,260,40,97,65,163,27,29,17,90,107,41,32,5,33,62,302,0.404,0.412,0.399,0.931,0.554,0.529,G-F,viviavi01
61,Rachel Jarry,0.528,11,13,27,2013,21,MIN,27,0,0,184,16,36,10,26,6,10,7,9,7,12,19,11,5,4,13,27,45,0.444,0.385,0.6,0.778,0.563,0.528,F,jarryra01
62,Luisa Geiselsoder,0.527,17,10,12,2025,25,DAL,12,8,0,273,34,73,25,43,9,30,2,3,14,45,59,17,10,12,10,26,79,0.466,0.581,0.3,0.667,0.531,0.527,C,geiselu01
63,Sonia Citron,0.526,45,43,22,2025,21,WAS,22,22,1,737,104,231,69,135,35,96,67,75,17,92,109,45,23,7,43,48,310,0.45,0.511,0.365,0.893,0.587,0.526,G,citroso01
64,Natisha Hiedeman,0.526,38,13,20,2019,22,CON,20,0,0,205,24,58,11,30,13,28,12,24,7,23,30,38,8,2,13,25,73,0.414,0.367,0.464,0.5,0.532,0.526,G,hiedena01
65,Asia Taylor,0.525,10,16,22,2014,22,MIN,22,0,0,173,21,40,21,40,0,0,18,24,12,18,30,10,4,0,16,34,60,0.525,0.525,,0.75,0.593,0.525,F,tayloas01
66,Nikki Teasley,0.524,140,68,32,2002,23,LAS,32,32,0,882,67,166,27,66,40,100,30,40,17,67,84,140,25,9,68,63,204,0.404,0.409,0.4,0.75,0.556,0.524,G,teaslni01
67,Laura Macchi,0.524,14,29,25,2004,25,LAS,25,15,0,410,52,106,45,80,7,26,41,55,23,38,61,14,21,6,29,56,152,0.491,0.563,0.269,0.745,0.584,0.524,F,macchla01
68,Ann Wauters,0.523,37,63,32,2000,19,CLE,32,0,0,598,78,149,78,147,0,2,43,58,47,82,129,37,21,24,63,75,199,0.523,0.531,0,0.741,0.57,0.523,C,wautean01
69,Dulcy Fankam Mendjiadeu,0.523,12,29,34,2023,23,SEA,34,21,0,470,56,107,56,106,0,1,22,40,58,91,149,12,13,11,29,71,134,0.523,0.528,0,0.55,0.538,0.523,F-C,fankadu01
70,Caitlin Clark,0.522,337,223,40,2024,22,IND,40,40,1,1416,242,580,120,225,122,355,163,180,14,213,227,337,53,27,223,111,769,0.417,0.533,0.344,0.906,0.583,0.522,G,clarkca02
71,Helen Luz,0.522,55,43,32,2001,28,WAS,32,3,0,489,55,136,23,54,32,82,22,25,10,27,37,55,28,5,43,47,164,0.404,0.426,0.39,0.88,0.558,0.522,G,luzhe01
72,Crystal Smith,0.521,22,18,22,2006,22,PHO,22,0,0,197,21,47,14,28,7,19,11,12,4,18,22,22,17,0,18,24,60,0.447,0.5,0.368,0.917,0.574,0.521,G,smithcr02
73,Kamilla Cardoso,0.521,54,49,32,2024,23,CHI,32,29,0,876,126,242,126,242,0,0,61,84,96,158,254,54,17,46,49,101,313,0.521,0.521,,0.726,0.561,0.521,C,cardoka01
74,Rushia Brown,0.52,20,27,28,1997,25,CLE,28,3,0,511,64,123,64,123,0,0,47,64,48,65,113,20,34,14,27,72,175,0.52,0.52,,0.734,0.579,0.52,F,brownru01
75,Razija Brcaninovic,0.52,29,64,30,1998,31,DET,30,30,0,695,106,204,106,204,0,0,60,90,54,100,154,29,9,26,64,86,272,0.52,0.52,,0.667,0.558,0.52,C,brcanra01
76,Natalie Williams,0.519,25,68,28,1999,28,UTA,28,26,1,954,180,347,180,345,0,2,144,191,109,148,257,25,38,22,68,108,504,0.519,0.522,0,0.754,0.585,0.519,C,willina03
77,Ivory Latta,0.517,20,16,31,2007,22,DET,31,1,0,221,34,87,12,38,22,49,3,7,4,15,19,20,8,2,16,24,93,0.391,0.316,0.449,0.429,0.516,0.517,G,lattaiv01
78,Taylor Lilley,0.517,15,16,21,2010,22,PHO,21,1,0,227,23,58,9,15,14,43,10,11,3,15,18,15,11,1,16,18,70,0.397,0.6,0.326,0.909,0.557,0.517,G,lilleta01
79,AD Durr,0.516,31,21,18,2019,22,NYL,18,15,0,480,71,152,56,101,15,51,18,22,5,24,29,31,10,7,21,34,175,0.467,0.554,0.294,0.818,0.541,0.516,G,durras01
80,Maya Moore,0.516,90,50,34,2011,22,MIN,34,34,1,951,164,374,106,217,58,157,63,80,57,100,157,90,48,16,50,92,449,0.439,0.488,0.369,0.788,0.549,0.516,F,moorema01
81,Leaonna Odom,0.515,16,15,22,2020,22,NYL,22,16,0,453,48,98,43,78,5,20,20,23,34,16,50,16,15,8,15,37,121,0.49,0.551,0.25,0.87,0.56,0.515,F,odomle01
82,Courtney Paris,0.515,22,20,33,2009,21,SAC,33,6,0,442,68,132,68,131,0,1,24,33,56,78,134,22,11,10,20,48,160,0.515,0.519,0,0.727,0.546,0.515,C,parisco01
83,Damiris Dantas,0.514,36,24,30,2014,21,MIN,30,23,0,655,71,139,70,138,1,1,38,50,46,106,152,36,15,11,24,62,181,0.511,0.507,1,0.76,0.562,0.514,C-F,dantada01
84,Iciss Tillis,0.514,13,23,31,2004,22,DET,31,1,0,287,35,74,29,56,6,18,7,12,13,26,39,13,9,8,23,23,83,0.473,0.518,0.333,0.583,0.523,0.514,F-C,tilliic01
85,Ariel Atkins,0.513,60,39,29,2018,21,WAS,29,24,0,652,120,278,75,152,45,126,42,51,28,41,69,60,39,10,39,73,327,0.432,0.493,0.357,0.824,0.544,0.513,G,atkinar01
86,Nicole Powell,0.512,16,22,31,2004,22,CHA,31,0,0,384,50,121,26,63,24,58,8,10,10,61,71,16,15,4,22,37,132,0.413,0.413,0.414,0.8,0.526,0.512,F,powelni01
87,Li Meng,0.512,35,28,34,2023,28,WAS,34,1,0,539,62,164,18,43,44,121,22,26,6,30,36,35,10,1,28,38,190,0.378,0.419,0.364,0.846,0.541,0.512,G,mengli01
88,Marie Ferdinand-Harris,0.512,79,63,32,2001,22,UTA,32,22,0,864,143,290,132,248,11,42,69,113,23,63,86,79,40,4,63,70,366,0.493,0.532,0.262,0.611,0.539,0.512,G,ferdima01
89,Grace Berger,0.512,67,37,36,2023,24,IND,36,0,0,524,57,127,41,93,16,34,21,25,7,49,56,67,17,6,37,38,151,0.449,0.441,0.471,0.84,0.547,0.512,G,bergegr01
90,Liz Cambage,0.511,17,79,33,2011,19,TUL,33,11,1,659,134,262,134,257,0,5,112,141,54,102,156,17,28,29,79,95,380,0.511,0.521,0,0.794,0.586,0.511,C,cambael01
91,Tina Nicholson,0.511,42,28,24,1997,23,CLE,24,14,0,273,18,44,9,20,9,24,3,5,2,8,10,42,11,1,28,28,48,0.409,0.45,0.375,0.6,0.519,0.511,G,nichoti01
92,Kara Lawson,0.511,56,42,34,2003,22,SAC,34,0,0,769,89,227,35,92,54,135,31,40,30,77,107,56,15,5,42,45,263,0.392,0.38,0.4,0.775,0.538,0.511,G,lawsoka01
93,Taj McWilliams-Franklin,0.511,51,80,32,1999,28,ORL,32,32,1,1042,153,319,133,274,20,45,94,141,81,158,239,51,57,38,80,96,420,0.48,0.485,0.444,0.667,0.551,0.511,F-C,mcwilta01
94,Kelly Schumacher,0.511,10,21,28,2001,23,IND,28,5,0,380,46,93,43,88,3,5,17,20,23,47,70,10,5,28,21,41,112,0.495,0.489,0.6,0.85,0.55,0.511,C,schumke01
95,Erlana Larkins,0.511,18,35,27,2008,22,NYL,27,0,0,335,48,94,48,94,0,0,33,56,38,35,73,18,10,7,35,54,129,0.511,0.511,,0.589,0.544,0.511,F,larkier01
96,Isabelle Fijalkowski,0.51,68,73,28,1997,25,CLE,28,28,0,803,125,246,124,242,1,4,81,103,62,95,157,68,17,17,73,129,332,0.508,0.512,0.25,0.786,0.57,0.51,F-C,fijalis01
97,Lindsay Whalen,0.508,148,94,31,2004,22,CON,31,30,0,946,83,183,63,126,20,57,89,122,21,69,90,148,39,0,94,72,275,0.454,0.5,0.351,0.73,0.581,0.508,G,whaleli01
98,Tyasha Harris,0.508,56,18,21,2020,22,DAL,21,3,0,412,55,127,36,71,19,56,14,22,0,26,26,56,18,3,18,36,143,0.433,0.507,0.339,0.636,0.523,0.508,G,harrity01
99,Becky Hammon,0.508,17,24,30,1999,22,NYL,30,0,0,202,27,64,16,26,11,38,15,17,2,17,19,17,6,0,24,27,80,0.422,0.615,0.289,0.882,0.56,0.508,G,hammobe01
100,Cindy Brown,0.507,53,67,30,1998,33,DET,30,30,0,965,126,268,106,207,20,61,82,116,70,231,301,53,51,22,67,105,354,0.47,0.512,0.328,0.707,0.555,0.507,F,brownci01
101,Tamika Catchings,0.507,118,82,32,2002,22,IND,32,32,1,1167,184,438,108,246,76,192,150,184,91,184,275,118,94,43,82,105,594,0.42,0.439,0.396,0.815,0.572,0.507,F,catchta01
102,Breanna Stewart,0.507,114,81,34,2016,21,SEA,34,34,0,1179,208,455,163,322,45,133,160,192,40,277,317,114,42,64,81,82,621,0.457,0.506,0.338,0.833,0.576,0.507,F,stewabr01
103,Danielle Adams,0.507,13,27,23,2011,22,SAS,23,0,1,480,99,230,64,130,35,100,53,71,35,63,98,13,12,15,27,60,286,0.43,0.492,0.35,0.746,0.547,0.507,F-C,adamsda02
104,Ana Dabovic,0.506,46,38,24,2015,25,LAS,24,8,0,530,74,166,54,106,20,60,42,52,11,28,39,46,21,1,38,69,210,0.446,0.509,0.333,0.808,0.556,0.506,G,dabovan01
105,Shannon Johnson,0.506,141,121,32,1999,24,ORL,32,32,1,1147,151,338,111,228,40,110,105,153,44,106,150,141,54,12,121,79,447,0.447,0.487,0.364,0.686,0.551,0.506,G,johnssh01
106,Kayte Christensen,0.505,15,32,30,2002,21,PHO,30,2,0,413,48,95,48,94,0,1,24,35,39,41,80,15,24,13,32,73,120,0.505,0.511,0,0.686,0.543,0.505,F,chriska01
107,Dorka Juhász,0.505,99,47,38,2023,23,MIN,38,27,0,919,94,199,81,151,13,48,27,50,64,182,246,99,36,23,47,70,228,0.472,0.536,0.271,0.54,0.516,0.505,F,juhasdo01
108,Rickea Jackson,0.505,59,76,40,2024,23,LAS,40,35,0,1152,200,439,157,315,43,124,92,114,51,104,155,59,27,14,76,70,535,0.456,0.498,0.347,0.807,0.547,0.505,F,jacksri02
109,Jae Kingi-Cross,0.504,74,53,29,2001,25,DET,29,17,0,625,55,142,22,54,33,88,26,36,20,43,63,74,31,8,53,42,169,0.387,0.407,0.375,0.722,0.535,0.504,G,kingija01
110,Chennedy Carter,0.5,55,43,16,2020,21,ATL,16,16,0,406,106,224,94,192,12,32,55,67,8,28,36,55,14,5,43,57,279,0.473,0.49,0.375,0.821,0.55,0.5,G,cartech01
111,Sonia Chase,0.5,13,13,23,1998,22,CHA,23,0,0,166,14,28,14,28,0,0,6,6,5,9,14,13,5,0,13,16,34,0.5,0.5,,1,0.555,0.5,G,chaseso01
112,Te'a Cooper,0.5,40,29,20,2020,23,LAS,20,3,0,345,51,113,40,81,11,32,26,34,2,18,20,40,13,0,29,39,139,0.451,0.494,0.344,0.765,0.543,0.5,G,coopete01
113,Tamecka Dixon,0.5,55,58,27,1997,21,LAS,27,21,0,715,115,252,93,200,22,52,68,88,22,59,81,55,49,5,58,76,320,0.456,0.465,0.423,0.773,0.55,0.5,G,dixonta01
114,Ivana Dojkić,0.5,65,35,23,2023,25,SEA,23,15,0,461,48,119,25,64,23,55,31,43,4,36,40,65,18,4,35,44,150,0.403,0.391,0.418,0.721,0.544,0.5,G,dojkiiv01
115,Sonja Henning,0.5,74,29,32,1999,29,HOU,32,32,0,798,52,117,39,76,13,41,11,18,22,58,80,74,34,7,29,60,128,0.444,0.513,0.317,0.611,0.512,0.5,G,henniso01
116,Joy Holmes-Harris,0.5,14,16,29,2000,31,DET,29,0,0,271,33,70,29,59,4,11,21,30,17,28,45,14,11,4,16,36,91,0.471,0.492,0.364,0.7,0.547,0.5,F,holmejo02
117,Jantel Lavender,0.5,15,28,33,2011,22,LAS,33,3,0,487,92,184,92,184,0,0,33,45,35,68,103,15,6,12,28,46,217,0.5,0.5,,0.733,0.532,0.5,F,lavenja01
118,Dominique Malonga,0.5,15,23,22,2025,19,SEA,22,0,0,193,43,86,43,79,0,7,9,13,15,46,61,15,4,3,23,29,95,0.5,0.544,0,0.692,0.518,0.5,C,malondo01
119,Rhonda Mapp,0.5,64,68,28,1997,27,CHA,28,23,0,710,120,244,116,236,4,8,82,106,53,101,154,64,21,12,68,104,326,0.492,0.492,0.5,0.774,0.561,0.5,C,mapprh01
120,JJ Quinerly,0.5,46,25,21,2025,22,DAL,21,6,0,295,53,119,40,87,13,32,28,32,10,22,32,46,17,4,25,46,147,0.445,0.46,0.406,0.875,0.552,0.5,G,quinejj01
121,DiDi Richards,0.5,25,16,31,2021,22,NYL,31,0,0,346,27,64,17,42,10,22,6,10,9,25,34,25,17,6,16,24,70,0.422,0.405,0.455,0.6,0.512,0.5,G-F,richadi01
122,Angel McCoughtry,0.499,71,72,34,2009,22,ATL,34,10,0,735,160,336,145,285,15,51,100,135,35,70,105,71,74,12,72,92,435,0.476,0.509,0.294,0.741,0.55,0.499,F-G,mccouan01
123,Anna Cruz,0.498,121,72,34,2014,27,NYL,34,34,0,922,109,236,92,187,17,49,27,39,14,104,118,121,44,9,72,61,262,0.462,0.492,0.347,0.692,0.517,0.498,G,cruzan01
124,Anete Jekabsone-Zogota,0.498,59,48,27,2009,25,CON,27,16,0,644,97,234,58,135,39,99,22,28,12,66,78,59,9,0,48,61,255,0.415,0.43,0.394,0.786,0.518,0.498,G,jekaban01
125,Stacey Dales,0.498,84,68,31,2002,22,WAS,31,28,1,805,93,230,50,121,43,109,74,100,26,55,81,84,16,4,68,79,303,0.404,0.413,0.394,0.74,0.553,0.498,F,dalesst01
126,Danielle McCray,0.497,42,34,34,2011,23,CON,34,23,0,513,69,173,35,86,34,87,27,35,14,63,77,42,16,4,34,45,199,0.399,0.407,0.391,0.771,0.528,0.497,F,mccrada01
127,Kitija Laksa,0.497,19,13,21,2025,29,PHO,21,5,0,491,58,151,24,50,34,101,13,19,9,21,30,19,9,4,13,37,163,0.384,0.48,0.337,0.684,0.511,0.497,F,laksaki01
128,Robyn Parks,0.496,16,19,37,2023,30,CHI,37,2,0,505,53,139,21,52,32,87,7,7,15,44,59,16,12,5,19,35,145,0.381,0.404,0.368,1,0.51,0.496,F,parksro01
129,Stephanie White,0.496,52,38,30,1999,22,CHA,30,5,0,563,53,130,30,65,23,65,30,33,16,33,49,52,19,2,38,47,159,0.408,0.462,0.354,0.909,0.55,0.496,G-F,mccarst01
130,Franthea Price,0.496,35,32,26,1998,30,SAC,26,1,0,379,43,115,15,37,28,78,13,18,7,37,44,35,20,2,32,29,127,0.374,0.405,0.359,0.722,0.517,0.496,G,pricefr01
131,Niele Ivey,0.495,70,35,32,2001,23,IND,32,26,0,708,38,102,13,32,25,70,14,15,16,39,55,70,33,5,35,51,115,0.373,0.406,0.357,0.933,0.529,0.495,G,iveyni01
132,Natasha Lacy,0.494,56,38,16,2010,24,TUL,16,3,0,293,38,80,35,68,3,12,22,37,5,32,37,56,23,3,38,30,101,0.475,0.515,0.25,0.595,0.525,0.494,G,lacyna01
133,Evanthia Maltsi,0.493,39,26,26,2007,28,CON,26,7,0,482,53,140,21,63,32,77,9,12,16,50,66,39,20,2,26,39,147,0.379,0.333,0.416,0.75,0.506,0.493,G-F,maltsev01
134,Renee Montgomery,0.492,72,66,34,2009,22,MIN,34,9,0,764,102,250,60,129,42,121,60,72,15,51,66,72,25,9,66,37,306,0.408,0.465,0.347,0.833,0.543,0.492,G,montgre01
135,Stefanie Dolson,0.492,42,58,34,2014,22,WAS,34,1,0,627,87,177,87,174,0,3,30,37,31,118,149,42,12,37,58,91,204,0.492,0.5,0,0.811,0.528,0.492,C,dolsost01
136,Charde Houston,0.492,28,55,33,2008,22,MIN,33,0,0,581,116,236,116,236,0,0,60,81,27,95,122,28,30,13,55,70,292,0.492,0.492,,0.741,0.537,0.492,F,houstch01
137,Emma Cannon,0.491,10,31,34,2017,28,PHO,34,0,0,440,56,114,56,112,0,2,37,63,43,79,122,10,5,5,31,72,149,0.491,0.5,0,0.587,0.526,0.491,F,cannoem01
138,Aaliyah Edwards,0.49,48,50,34,2024,21,WAS,34,17,0,741,103,210,103,203,0,7,52,80,48,143,191,48,25,27,50,91,258,0.49,0.507,0,0.65,0.526,0.49,F,edwaraa01
139,Cappie Pondexter,0.49,98,45,32,2006,23,PHO,32,32,1,1067,219,495,172,369,47,126,139,163,37,70,107,98,37,4,45,84,624,0.442,0.466,0.373,0.853,0.551,0.49,G,pondeca01
140,Clarisse Machanguana,0.49,10,14,28,1999,22,LAS,28,0,0,245,24,49,24,49,0,0,26,36,16,35,51,10,8,3,14,34,74,0.49,0.49,,0.722,0.571,0.49,C-F,machacl01
141,Tammy Sutton-Brown,0.49,11,40,29,2001,23,CHA,29,21,0,602,72,147,72,147,0,0,52,72,51,78,129,11,21,39,40,84,196,0.49,0.49,,0.722,0.548,0.49,C,suttota01
142,Gordana Grubin,0.489,90,53,32,1999,26,LAS,32,18,0,708,96,237,56,144,40,93,52,68,17,54,71,90,24,2,53,53,284,0.405,0.389,0.43,0.765,0.532,0.489,G,grubigo01
143,Kalana Greene,0.489,31,36,33,2010,22,NYL,33,0,0,519,64,138,57,117,7,21,15,24,14,40,54,31,13,7,36,50,150,0.464,0.487,0.333,0.625,0.505,0.489,G,greenka01
144,Lisa Willis,0.489,10,17,24,2006,22,LAS,24,0,0,319,35,91,16,39,19,52,22,31,13,30,43,10,26,0,17,25,111,0.385,0.41,0.365,0.71,0.53,0.489,G,willili01
145,Sami Whitcomb,0.489,34,29,33,2017,28,SEA,33,0,0,404,48,133,14,31,34,102,17,21,14,42,56,34,24,0,29,50,147,0.361,0.452,0.333,0.81,0.517,0.489,G,whitcsa01
146,Shanna Zolman,0.489,34,38,34,2006,22,SAS,34,0,0,549,83,219,35,92,48,127,12,18,7,34,41,34,11,4,38,21,226,0.379,0.38,0.378,0.667,0.498,0.489,G,zolmash01
147,Alexis Gray-Lawson,0.488,35,21,27,2011,24,PHO,27,0,0,308,33,83,18,40,15,43,23,28,5,15,20,35,6,0,21,30,104,0.398,0.45,0.349,0.821,0.546,0.488,G,graylal01
148,Tracy Reid,0.487,46,71,30,1998,21,CHA,30,30,0,966,151,310,151,308,0,2,111,181,60,97,157,46,40,12,71,59,413,0.487,0.49,0,0.613,0.53,0.487,F,reidtr01
149,Tina Charles,0.487,51,71,34,2010,21,CON,34,34,0,1054,206,423,206,422,0,1,116,152,129,269,398,51,25,57,71,72,528,0.487,0.488,0,0.763,0.539,0.487,C,charlti01
150,Kristin Folkl,0.486,23,23,32,1999,23,MIN,32,1,0,518,67,140,65,126,2,14,21,39,41,75,116,23,14,12,23,68,157,0.479,0.516,0.143,0.538,0.499,0.486,F,folklkr01
151,Paige Bueckers,0.485,99,43,18,2025,23,DAL,18,18,1,629,123,274,103,213,20,61,65,77,13,59,72,99,31,13,43,49,331,0.449,0.484,0.328,0.844,0.538,0.485,G,bueckpa01
152,Betty Lennox,0.485,82,97,32,2000,23,MIN,32,31,1,984,201,471,146,332,55,139,84,105,53,125,178,82,53,9,97,112,541,0.427,0.44,0.396,0.8,0.523,0.485,G,lennobe02
153,Nicole Levesque,0.485,75,71,27,1997,25,CHA,27,21,0,622,36,98,13,32,23,66,14,15,5,42,47,75,21,3,71,47,109,0.367,0.406,0.348,0.933,0.521,0.485,G,levesni01
154,Kristy Wallace,0.485,63,44,29,2022,26,ATL,29,18,0,602,66,162,41,94,25,68,33,42,18,50,68,63,17,6,44,58,190,0.407,0.436,0.368,0.786,0.526,0.485,G,wallakr01
155,Azura Stevens,0.484,44,51,34,2018,22,DAL,34,9,0,700,111,258,83,170,28,88,52,66,59,96,155,44,31,39,51,70,302,0.43,0.488,0.318,0.788,0.526,0.484,F-C,steveaz01
156,Bernice Mosby,0.484,10,19,28,2007,23,WAS,28,0,0,279,30,62,30,61,0,1,23,28,25,53,78,10,8,6,19,22,83,0.484,0.492,0,0.821,0.558,0.484,F,mosbybe01
157,Margo Dydek,0.483,53,108,30,1998,24,UTA,30,30,0,839,146,303,145,296,1,7,93,127,41,186,227,53,14,114,108,126,386,0.482,0.49,0.143,0.732,0.538,0.483,C,dydekma01
158,Stacy Frese,0.483,17,14,21,2000,23,UTA,21,0,0,222,10,30,1,4,9,26,33,36,4,14,18,17,4,0,14,14,62,0.333,0.25,0.346,0.917,0.676,0.483,G,fresest01
159,Sidney Spencer,0.483,42,35,34,2007,22,LAS,34,22,0,828,118,300,64,177,54,123,37,42,48,90,138,42,27,11,35,86,327,0.393,0.362,0.439,0.881,0.513,0.483,G,spencsi01
160,Susanna Bonfiglio,0.483,23,18,22,2002,27,PHO,22,6,0,306,43,89,43,83,0,6,19,25,16,21,37,23,12,0,18,35,105,0.483,0.518,0,0.76,0.525,0.483,G,bonfisu01
161,Sandra Van Embricqs,0.483,16,19,28,1998,30,LAS,28,2,0,470,43,89,43,89,0,0,8,16,34,41,75,16,24,9,19,57,94,0.483,0.483,,0.5,0.489,0.483,F-C,vanemal01
162,Ruthie Bolton,0.483,59,58,23,1997,30,SAC,23,23,0,813,164,408,98,216,66,192,53,69,31,103,134,59,54,1,58,71,447,0.402,0.454,0.344,0.768,0.51,0.483,G,boltoru01
163,April Sykes,0.483,19,16,30,2012,21,LAS,30,0,0,259,33,87,15,39,18,48,8,15,8,26,34,19,9,4,16,27,92,0.379,0.385,0.375,0.533,0.491,0.483,G-F,sykesap01
164,Katie Gearlds,0.482,24,20,33,2007,22,SEA,33,0,0,437,44,114,22,50,22,64,22,25,16,37,53,24,12,6,20,22,132,0.386,0.44,0.344,0.88,0.528,0.482,G-F,gearlka01
165,Michaela Onyenwere,0.482,18,34,32,2021,21,NYL,32,29,0,711,91,227,54,114,37,113,56,67,21,73,94,18,14,9,34,80,275,0.401,0.474,0.327,0.836,0.536,0.482,F,onyenmi01
166,Erica Wheeler,0.482,27,27,20,2015,24,ATLNYL,20,0,0,229,37,83,31,63,6,20,10,16,4,16,20,27,12,0,27,28,90,0.446,0.492,0.3,0.625,0.5,0.482,G,wheeler01
167,Lexi Held,0.482,20,18,14,2025,25,PHO,14,0,0,290,43,110,23,46,20,64,16,20,8,16,24,20,21,5,18,18,122,0.391,0.5,0.313,0.8,0.513,0.482,G,heldle01
168,Coretta Brown,0.482,31,36,30,2003,22,IND,30,2,0,522,61,164,25,64,36,100,28,33,11,30,41,31,21,4,36,30,186,0.372,0.391,0.36,0.848,0.521,0.482,G,brownco01
169,Temeka Johnson,0.482,177,88,34,2005,22,WAS,34,34,0,973,125,273,112,230,13,43,52,66,13,91,104,177,44,1,88,99,315,0.458,0.487,0.302,0.788,0.521,0.482,G,johnste02
170,Glory Johnson,0.482,38,71,34,2012,21,TUL,34,28,0,958,131,272,131,272,0,0,130,192,95,137,232,38,73,20,71,103,392,0.482,0.482,,0.677,0.55,0.482,F,johnsgl02
171,Kayla McBride,0.482,58,42,34,2014,22,SAS,34,34,0,884,154,379,97,235,57,144,77,91,22,57,79,58,33,4,42,39,442,0.406,0.413,0.396,0.846,0.527,0.482,G,mcbrika01
172,Tiffany Travis,0.481,26,32,32,2000,22,CHA,32,12,0,574,70,158,58,133,12,25,21,28,24,57,81,26,31,4,32,74,173,0.443,0.436,0.48,0.75,0.508,0.481,F,traviti01
173,Cayla George,0.481,25,27,34,2015,26,PHO,34,2,0,433,67,157,50,97,17,60,19,22,26,81,107,25,13,22,27,70,170,0.427,0.515,0.283,0.864,0.51,0.481,C-F,francca01
174,Seimone Augustus,0.481,50,71,34,2006,22,MIN,34,34,1,1127,283,620,253,535,30,85,148,165,15,113,128,50,21,18,71,58,744,0.456,0.473,0.353,0.897,0.537,0.481,G-F,augusse01
175,Chelsea Gray,0.48,92,59,34,2015,22,CON,34,0,0,543,86,203,63,137,23,66,40,49,18,60,78,92,22,5,59,43,235,0.424,0.46,0.348,0.816,0.523,0.48,G,graych01
176,Amy Herrig,0.48,20,29,25,2000,23,UTA,25,0,0,341,36,75,36,74,0,1,19,31,26,33,59,20,7,5,29,41,91,0.48,0.486,0,0.613,0.513,0.48,C,herriam01
177,Christy Smith,0.48,71,48,24,1998,22,CHA,24,18,0,448,27,75,9,18,18,57,17,20,3,31,34,71,10,0,48,34,89,0.36,0.5,0.316,0.85,0.531,0.48,G,smithch08
