Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
580,Joyner Holmes,0.326,13,13,19,2020,22,NYL,19,0,0,190,22,72,19,44,3,28,9,12,15,36,51,13,2,2,13,14,56,0.306,0.432,0.107,0.75,0.362,0.326,F,holmejo03
581,Andrea Garner,0.326,25,43,32,2000,21,SEA,32,19,0,560,37,115,36,113,1,2,24,38,42,55,97,25,27,10,43,44,99,0.322,0.319,0.5,0.632,0.376,0.326,F-C,garnean01
582,Markita Aldridge,0.324,33,41,31,1999,25,WAS,31,2,0,379,29,94,26,74,3,20,20,33,12,25,37,33,15,7,41,35,81,0.309,0.351,0.15,0.606,0.373,0.324,G,aldrima01
583,Stephanie Soares,0.324,10,12,22,2024,24,DAL,22,3,0,175,10,34,8,22,2,12,2,2,18,29,47,10,2,8,12,18,24,0.294,0.364,0.167,1,0.344,0.324,C,soarest01
584,Beth Cunningham,0.316,12,12,21,2000,25,WAS,21,0,0,198,17,68,8,31,9,37,16,19,4,17,21,12,2,0,12,23,59,0.25,0.258,0.243,0.842,0.386,0.316,G,cunnibe01
585,Nekeshia Henderson,0.316,22,16,23,2001,28,HOU,23,0,0,179,9,38,3,16,6,22,2,7,5,16,21,22,6,0,16,5,26,0.237,0.188,0.273,0.286,0.316,0.316,G,hendene01
586,A'Quonesia Franklin,0.314,59,26,34,2008,22,SAC,34,0,0,351,19,70,13,46,6,24,9,14,5,40,45,59,16,1,26,44,53,0.271,0.283,0.25,0.643,0.348,0.314,G,frankaq01
587,Audrey Sauret,0.311,43,41,25,2001,24,WAS,25,3,0,455,33,111,30,85,3,26,7,24,11,31,42,43,24,4,41,39,76,0.297,0.353,0.115,0.292,0.313,0.311,G,saureau01
588,Slobodanka Tuvic,0.31,17,28,30,2001,23,PHO,30,0,0,325,13,42,13,42,0,0,28,59,18,45,63,17,16,17,28,49,54,0.31,0.31,,0.475,0.397,0.31,C,tuvicsl01
589,Lindsey Moore,0.306,24,12,23,2013,22,MIN,23,0,0,130,8,31,5,19,3,12,3,4,0,13,13,24,3,0,12,5,22,0.258,0.263,0.25,0.75,0.336,0.306,G,mooreli01
