"season","series_idx","round","fmt","game","away","away_pts","home","home_pts","higher","home_is_higher","home_won"
2001,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"New York Liberty",62,"Miami Sol",46,"New York Liberty",FALSE,FALSE
2001,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Miami Sol",53,"New York Liberty",50,"New York Liberty",TRUE,FALSE
2001,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Miami Sol",61,"New York Liberty",72,"New York Liberty",TRUE,TRUE
2001,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",64,"Houston Comets",59,"Los Angeles Sparks",FALSE,FALSE
2001,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Houston Comets",58,"Los Angeles Sparks",70,"Los Angeles Sparks",TRUE,TRUE
2001,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Sacramento Monarchs",89,"Utah Starzz",65,"Sacramento Monarchs",FALSE,FALSE
2001,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Utah Starzz",66,"Sacramento Monarchs",71,"Sacramento Monarchs",TRUE,TRUE
2002,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"New York Liberty",74,"Washington Mystics",79,"New York Liberty",FALSE,TRUE
2002,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Washington Mystics",79,"New York Liberty",96,"New York Liberty",TRUE,TRUE
2002,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Washington Mystics",57,"New York Liberty",64,"New York Liberty",TRUE,TRUE
2002,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",75,"Utah Starzz",67,"Los Angeles Sparks",FALSE,FALSE
2002,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Utah Starzz",77,"Los Angeles Sparks",103,"Los Angeles Sparks",TRUE,TRUE
2002,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"New York Liberty",55,"Indiana Fever",73,"New York Liberty",FALSE,TRUE
2002,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Indiana Fever",65,"New York Liberty",84,"New York Liberty",TRUE,TRUE
2002,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Indiana Fever",60,"New York Liberty",75,"New York Liberty",TRUE,TRUE
2002,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Charlotte Sting",62,"Washington Mystics",74,"Charlotte Sting",FALSE,TRUE
2002,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Washington Mystics",62,"Charlotte Sting",59,"Charlotte Sting",TRUE,FALSE
2002,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",78,"Seattle Storm",61,"Los Angeles Sparks",FALSE,FALSE
2002,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Seattle Storm",59,"Los Angeles Sparks",69,"Los Angeles Sparks",TRUE,TRUE
2002,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Houston Comets",59,"Utah Starzz",66,"Houston Comets",FALSE,TRUE
2002,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Utah Starzz",77,"Houston Comets",83,"Houston Comets",TRUE,TRUE
2002,7,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Utah Starzz",75,"Houston Comets",72,"Houston Comets",TRUE,FALSE
2003,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Detroit Shock",73,"Connecticut Sun",63,"Detroit Shock",FALSE,FALSE
2003,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Connecticut Sun",73,"Detroit Shock",79,"Detroit Shock",TRUE,TRUE
2003,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",69,"Sacramento Monarchs",77,"Los Angeles Sparks",FALSE,TRUE
2003,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",54,"Los Angeles Sparks",79,"Los Angeles Sparks",TRUE,TRUE
2003,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",63,"Los Angeles Sparks",66,"Los Angeles Sparks",TRUE,TRUE
2003,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Charlotte Sting",66,"Connecticut Sun",68,"Charlotte Sting",FALSE,TRUE
2003,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Connecticut Sun",68,"Charlotte Sting",62,"Charlotte Sting",TRUE,FALSE
2003,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Detroit Shock",76,"Cleveland Rockers",74,"Detroit Shock",FALSE,FALSE
2003,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Cleveland Rockers",66,"Detroit Shock",59,"Detroit Shock",TRUE,FALSE
2003,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Cleveland Rockers",63,"Detroit Shock",77,"Detroit Shock",TRUE,TRUE
2003,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",72,"Minnesota Lynx",74,"Los Angeles Sparks",FALSE,TRUE
2003,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Minnesota Lynx",69,"Los Angeles Sparks",80,"Los Angeles Sparks",TRUE,TRUE
2003,6,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Minnesota Lynx",64,"Los Angeles Sparks",74,"Los Angeles Sparks",TRUE,TRUE
2003,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Houston Comets",59,"Sacramento Monarchs",65,"Houston Comets",FALSE,TRUE
2003,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",48,"Houston Comets",69,"Houston Comets",TRUE,TRUE
2003,7,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",70,"Houston Comets",68,"Houston Comets",TRUE,FALSE
2004,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Connecticut Sun",61,"New York Liberty",51,"Connecticut Sun",FALSE,FALSE
2004,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"New York Liberty",57,"Connecticut Sun",60,"Connecticut Sun",TRUE,TRUE
2004,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Seattle Storm",72,"Sacramento Monarchs",74,"Seattle Storm",FALSE,TRUE
2004,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",54,"Seattle Storm",66,"Seattle Storm",TRUE,TRUE
2004,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",62,"Seattle Storm",82,"Seattle Storm",TRUE,TRUE
2004,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Connecticut Sun",59,"Washington Mystics",67,"Connecticut Sun",FALSE,TRUE
2004,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Washington Mystics",70,"Connecticut Sun",80,"Connecticut Sun",TRUE,TRUE
2004,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Washington Mystics",56,"Connecticut Sun",76,"Connecticut Sun",TRUE,TRUE
2004,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"New York Liberty",75,"Detroit Shock",62,"New York Liberty",FALSE,FALSE
2004,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Detroit Shock",76,"New York Liberty",66,"New York Liberty",TRUE,FALSE
2004,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Detroit Shock",64,"New York Liberty",66,"New York Liberty",TRUE,TRUE
2004,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",52,"Sacramento Monarchs",72,"Los Angeles Sparks",FALSE,TRUE
2004,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",57,"Los Angeles Sparks",71,"Los Angeles Sparks",TRUE,TRUE
2004,6,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",73,"Los Angeles Sparks",58,"Los Angeles Sparks",TRUE,FALSE
2004,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Seattle Storm",70,"Minnesota Lynx",58,"Seattle Storm",FALSE,FALSE
2004,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Minnesota Lynx",54,"Seattle Storm",64,"Seattle Storm",TRUE,TRUE
2005,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Connecticut Sun",73,"Indiana Fever",68,"Connecticut Sun",FALSE,FALSE
2005,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Indiana Fever",67,"Connecticut Sun",77,"Connecticut Sun",TRUE,TRUE
2005,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Sacramento Monarchs",73,"Houston Comets",69,"Sacramento Monarchs",FALSE,FALSE
2005,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Houston Comets",65,"Sacramento Monarchs",74,"Sacramento Monarchs",TRUE,TRUE
2005,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Connecticut Sun",73,"Detroit Shock",62,"Connecticut Sun",FALSE,FALSE
2005,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Detroit Shock",67,"Connecticut Sun",75,"Connecticut Sun",TRUE,TRUE
2005,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Indiana Fever",63,"New York Liberty",51,"Indiana Fever",FALSE,FALSE
2005,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"New York Liberty",50,"Indiana Fever",58,"Indiana Fever",TRUE,TRUE
2005,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Seattle Storm",75,"Houston Comets",67,"Seattle Storm",FALSE,FALSE
2005,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Houston Comets",67,"Seattle Storm",64,"Seattle Storm",TRUE,FALSE
2005,6,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Houston Comets",75,"Seattle Storm",58,"Seattle Storm",TRUE,FALSE
2005,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Sacramento Monarchs",75,"Los Angeles Sparks",72,"Sacramento Monarchs",FALSE,FALSE
2005,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Los Angeles Sparks",63,"Sacramento Monarchs",81,"Sacramento Monarchs",TRUE,TRUE
2006,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Connecticut Sun",59,"Detroit Shock",70,"Connecticut Sun",FALSE,TRUE
2006,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Detroit Shock",68,"Connecticut Sun",77,"Connecticut Sun",TRUE,TRUE
2006,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Detroit Shock",79,"Connecticut Sun",55,"Connecticut Sun",TRUE,FALSE
2006,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",61,"Sacramento Monarchs",64,"Los Angeles Sparks",FALSE,TRUE
2006,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",72,"Los Angeles Sparks",58,"Los Angeles Sparks",TRUE,FALSE
2006,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Connecticut Sun",76,"Washington Mystics",61,"Connecticut Sun",FALSE,FALSE
2006,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Washington Mystics",65,"Connecticut Sun",68,"Connecticut Sun",TRUE,TRUE
