Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
195,Minnesota,-,2025-03-01,-15,@,Michigan State,23,L 58-73,200,20,51,0.392,17,37,0.459,3,14,0.214,15,19,0.789,58,26,59,0.441,17,36,0.472,9,23,0.391,12,20,0.6,73,-6,-8,-0.049,0,+1,-0.013,-6,-9,-0.177,+3,-1,+.189,-15
196,SMU,-,2025-01-05,-15,,California,20,L 66-81,200,25,63,0.397,16,41,0.39,9,22,0.409,7,9,0.778,66,31,61,0.508,21,36,0.583,10,25,0.4,9,10,0.9,81,-6,+2,-0.111,-5,+5,-0.193,-1,-3,+.009,-2,-1,-0.122,-15
197,Texas A&M,-,2025-01-12,-15,@,Oklahoma,10,L 62-77,200,18,67,0.269,15,48,0.313,3,19,0.158,23,29,0.793,62,26,66,0.394,18,33,0.545,8,33,0.242,17,23,0.739,77,-8,+1,-0.125,-3,+15,-0.233,-5,-14,-0.085,+6,+6,+.054,-15
198,Villanova,-,2025-03-02,-15,@,Creighton,22,L 55-70,200,24,64,0.375,19,42,0.452,5,22,0.227,2,3,0.667,55,26,57,0.456,20,35,0.571,6,22,0.273,12,14,0.857,70,-2,+7,-0.081,-1,+7,-0.119,-1,0,-0.045,-10,-11,-0.19,-15
199,Wisconsin,-,2025-01-11,-15,,Maryland,8,L 68-83,200,22,53,0.415,13,29,0.448,9,24,0.375,15,21,0.714,68,32,59,0.542,30,51,0.588,2,8,0.25,17,24,0.708,83,-10,-6,-0.127,-17,-22,-0.14,+7,+16,+.125,-2,-3,+.006,-15
200,Arizona State,-,2025-02-19,-16,,TCU,10,L 66-82,200,23,63,0.365,17,52,0.327,6,11,0.545,14,18,0.778,66,33,58,0.569,26,36,0.722,7,22,0.318,9,14,0.643,82,-10,+5,-0.204,-9,+16,-0.395,-1,-11,+.227,+5,+4,+.135,-16
201,Arizona State,-,2024-11-26,-16,N,Kentucky,14,L 61-77,200,20,66,0.303,15,51,0.294,5,15,0.333,16,23,0.696,61,27,64,0.422,21,41,0.512,6,23,0.261,17,22,0.773,77,-7,+2,-0.119,-6,+10,-0.218,-1,-8,+.072,-1,+1,-0.077,-16
202,Auburn,-,2025-02-23,-16,@,Alabama,18,L 50-66,200,21,52,0.404,20,45,0.444,1,7,0.143,7,14,0.5,50,26,54,0.481,18,33,0.545,8,21,0.381,6,10,0.6,66,-5,-2,-0.078,+2,+12,-0.101,-7,-14,-0.238,+1,+4,-0.1,-16
203,Cincinnati,-,2025-03-01,-16,,West Virginia,18,L 69-85,200,24,59,0.407,16,41,0.39,8,18,0.444,13,24,0.542,69,27,66,0.409,19,49,0.388,8,17,0.471,23,31,0.742,85,-3,-7,-0.002,-3,-8,+.002,0,+1,-0.026,-10,-7,-0.2,-16
204,Columbia,-,2024-12-01,-16,@,Duke,13,L 61-77,200,24,64,0.375,20,42,0.476,4,22,0.182,9,14,0.643,61,34,65,0.523,30,53,0.566,4,12,0.333,5,6,0.833,77,-10,-1,-0.148,-10,-11,-0.09,0,+10,-0.152,+4,+8,-0.19,-16
205,Florida,-,2025-01-09,-16,,Kentucky,15,L 55-71,200,22,57,0.386,19,46,0.413,3,11,0.273,8,10,0.8,55,29,60,0.483,21,33,0.636,8,27,0.296,5,12,0.417,71,-7,-3,-0.097,-2,+13,-0.223,-5,-16,-0.024,+3,-2,+.383,-16
