Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
240,Vanderbilt,-,2025-01-05,-18,,Kentucky,16,L 78-96,200,27,74,0.365,18,44,0.409,9,30,0.3,15,20,0.75,78,33,61,0.541,18,30,0.6,15,31,0.484,15,20,0.75,96,-6,+13,-0.176,0,+14,-0.191,-6,-1,-0.184,0,0,0,-18
241,Western Kentucky,-,2024-12-28,-18,@,Kentucky,16,L 70-88,200,24,59,0.407,20,41,0.488,4,18,0.222,18,23,0.783,70,36,68,0.529,28,41,0.683,8,27,0.296,8,10,0.8,88,-12,-9,-0.123,-8,0,-0.195,-4,-9,-0.074,+10,+13,-0.017,-18
242,Arizona,-,2025-02-12,-19,@,Oklahoma State,20,L 64-83,200,25,55,0.455,18,38,0.474,7,17,0.412,7,14,0.5,64,31,62,0.5,26,44,0.591,5,18,0.278,16,22,0.727,83,-6,-7,-0.045,-8,-6,-0.117,+2,-1,+.134,-9,-8,-0.227,-19
243,Auburn,-,2025-01-12,-19,@,Kentucky,15,L 61-80,200,24,69,0.348,23,62,0.371,1,7,0.143,12,18,0.667,61,30,56,0.536,23,35,0.657,7,21,0.333,13,16,0.813,80,-6,+13,-0.188,0,+27,-0.286,-6,-14,-0.19,-1,+2,-0.146,-19
244,Cincinnati,-,2025-02-15,-19,@,West Virginia,18,L 50-69,200,16,50,0.32,15,44,0.341,1,6,0.167,17,26,0.654,50,28,64,0.438,22,42,0.524,6,22,0.273,7,12,0.583,69,-12,-14,-0.118,-7,+2,-0.183,-5,-16,-0.106,+10,+14,+.071,-19
245,Clemson,-,2025-02-06,-19,@,Duke,10,L 55-74,200,19,38,0.5,12,25,0.48,7,13,0.538,10,18,0.556,55,30,64,0.469,23,41,0.561,7,23,0.304,7,11,0.636,74,-11,-26,+.031,-11,-16,-0.081,0,-10,+.234,+3,+7,-0.081,-19
246,Houston,-,2025-01-01,-19,,Kansas State,12,L 55-74,200,22,69,0.319,18,49,0.367,4,20,0.2,7,10,0.7,55,28,56,0.5,24,37,0.649,4,19,0.211,14,18,0.778,74,-6,+13,-0.181,-6,+12,-0.281,0,+1,-0.011,-7,-8,-0.078,-19
247,Minnesota,-,2024-12-08,-19,@,Nebraska,25,L 65-84,200,25,71,0.352,20,50,0.4,5,21,0.238,10,15,0.667,65,31,60,0.517,19,32,0.594,12,28,0.429,10,16,0.625,84,-6,+11,-0.165,+1,+18,-0.194,-7,-7,-0.19,0,-1,+.042,-19
248,Missouri,-,2025-01-05,-19,@,Alabama,19,L 49-68,200,16,47,0.34,13,35,0.371,3,12,0.25,14,17,0.824,49,22,55,0.4,17,40,0.425,5,15,0.333,19,23,0.826,68,-6,-8,-0.06,-4,-5,-0.054,-2,-3,-0.083,-5,-6,-0.003,-19
249,North Carolina A&T,-,2024-11-12,-19,,North Carolina,14,L 47-66,200,17,50,0.34,15,40,0.375,2,10,0.2,11,15,0.733,47,24,59,0.407,14,28,0.5,10,31,0.323,8,11,0.727,66,-7,-9,-0.067,+1,+12,-0.125,-8,-21,-0.123,+3,+4,+.006,-19
250,Oregon State,-,2024-11-25,-19,N,Connecticut,2,L 52-71,200,20,45,0.444,11,26,0.423,9,19,0.474,3,4,0.75,52,28,64,0.438,18,35,0.514,10,29,0.345,5,8,0.625,71,-8,-19,+.007,-7,-9,-0.091,-1,-10,+.129,-2,-4,+.125,-19
251,Oregon State,-,2024-11-22,-19,@,Illinois,22,L 66-85,200,26,66,0.394,19,37,0.514,7,29,0.241,7,9,0.778,66,35,64,0.547,30,44,0.682,5,20,0.25,10,12,0.833,85,-9,+2,-0.153,-11,-7,-0.168,+2,+9,-0.009,-3,-3,-0.056,-19
252,Arkansas,-,2025-01-26,-20,@,Kentucky,11,L 69-89,200,22,61,0.361,10,32,0.313,12,29,0.414,13,16,0.813,69,30,63,0.476,17,35,0.486,13,28,0.464,16,22,0.727,89,-8,-2,-0.116,-7,-3,-0.173,-1,+1,-0.05,-3,-6,+.085,-20
253,Boston College,-,2025-02-09,-20,,Georgia Tech,17,L 51-71,200,21,69,0.304,18,48,0.375,3,21,0.143,6,7,0.857,51,27,55,0.491,23,40,0.575,4,15,0.267,13,16,0.813,71,-6,+14,-0.187,-5,+8,-0.2,-1,+6,-0.124,-7,-9,+.045,-20
254,Brigham Young,-,2024-11-29,-20,N,Iowa,22,L 48-68,200,16,53,0.302,9,30,0.3,7,23,0.304,9,10,0.9,48,24,51,0.471,13,28,0.464,11,23,0.478,9,11,0.818,68,-8,+2,-0.169,-4,+2,-0.164,-4,0,-0.174,0,-1,+.082,-20
255,Florida,-,2024-12-18,-20,N,North Carolina,19,L 57-77,200,18,57,0.316,16,44,0.364,2,13,0.154,19,24,0.792,57,27,66,0.409,18,32,0.563,9,34,0.265,14,18,0.778,77,-9,-9,-0.093,-2,+12,-0.199,-7,-21,-0.111,+5,+6,+.014,-20
256,Maryland Eastern Shore,-,2024-11-26,-20,N,Illinois,19,L 55-75,200,19,61,0.311,16,48,0.333,3,13,0.231,14,22,0.636,55,22,55,0.4,15,34,0.441,7,21,0.333,24,33,0.727,75,-3,+6,-0.089,+1,+14,-0.108,-4,-8,-0.103,-10,-11,-0.091,-20
257,Mississippi State,-,2025-02-09,-20,,Alabama,23,L 60-80,200,22,63,0.349,18,45,0.4,4,18,0.222,12,15,0.8,60,30,53,0.566,21,36,0.583,9,17,0.529,11,16,0.688,80,-8,+10,-0.217,-3,+9,-0.183,-5,+1,-0.307,+1,-1,+.113,-20
258,Omaha,-,2025-03-06,-20,N,South Dakota State,25,L 67-87,200,25,65,0.385,20,46,0.435,5,19,0.263,12,17,0.706,67,35,60,0.583,28,42,0.667,7,18,0.389,10,14,0.714,87,-10,+5,-0.199,-8,+4,-0.232,-2,+1,-0.126,+2,+3,-0.008,-20
259,Nebraska,-,2025-01-01,-20,@,Southern California,4,L 55-75,200,20,58,0.345,15,43,0.349,5,15,0.333,10,12,0.833,55,27,60,0.45,23,43,0.535,4,17,0.235,17,23,0.739,75,-7,-2,-0.105,-8,0,-0.186,+1,-2,+.098,-7,-11,+.094,-20
260,Texas A&M,-,2025-02-02,-20,,Texas,5,L 50-70,200,21,56,0.375,19,49,0.388,2,7,0.286,6,13,0.462,50,31,59,0.525,27,48,0.563,4,11,0.364,4,5,0.8,70,-10,-3,-0.15,-8,+1,-0.175,-2,-4,-0.078,+2,+8,-0.338,-20
261,Texas Tech,-,2025-01-04,-20,@,Kansas State,12,L 57-77,200,21,55,0.382,18,34,0.529,3,21,0.143,12,13,0.923,57,29,59,0.492,26,44,0.591,3,15,0.2,16,21,0.762,77,-8,-4,-0.11,-8,-10,-0.061,0,+6,-0.057,-4,-8,+.161,-20
262,Vanderbilt,-,2025-02-20,-20,@,Oklahoma,16,L 81-101,200,24,68,0.353,10,38,0.263,14,30,0.467,19,26,0.731,81,36,69,0.522,24,39,0.615,12,30,0.4,17,24,0.708,101,-12,-1,-0.169,-14,-1,-0.352,+2,0,+.067,+2,+2,+.022,-20
263,Wisconsin,-,2025-02-12,-20,@,Michigan State,22,L 71-91,200,28,57,0.491,23,38,0.605,5,19,0.263,10,15,0.667,71,39,66,0.591,31,44,0.705,8,22,0.364,5,8,0.625,91,-11,-9,-0.1,-8,-6,-0.099,-3,-3,-0.1,+5,+7,+.042,-20
264,Coastal Carolina,-,2024-11-21,-21,@,NC State,20,L 68-89,200,24,62,0.387,13,34,0.382,11,28,0.393,9,11,0.818,68,36,72,0.5,25,43,0.581,11,29,0.379,6,16,0.375,89,-12,-10,-0.113,-12,-9,-0.199,0,-1,+.014,+3,-5,+.443,-21
265,Hawaii,-,2024-12-01,-21,,UCLA,1,L 49-70,200,14,53,0.264,8,28,0.286,6,25,0.24,15,18,0.833,49,24,57,0.421,21,41,0.512,3,16,0.188,19,26,0.731,70,-10,-4,-0.157,-13,-13,-0.226,+3,+9,+.053,-4,-8,+.103,-21
266,Lindenwood,-,2024-12-03,-21,@,Nebraska,25,L 48-69,200,17,55,0.309,10,30,0.333,7,25,0.28,7,10,0.7,48,29,64,0.453,23,42,0.548,6,22,0.273,5,12,0.417,69,-12,-9,-0.144,-13,-12,-0.214,+1,+3,+.007,+2,-2,+.283,-21
267,Penn State,-,2025-01-22,-21,@,Michigan State,21,L 61-82,200,23,54,0.426,12,33,0.364,11,21,0.524,4,7,0.571,61,34,69,0.493,21,42,0.5,13,27,0.481,1,4,0.25,82,-11,-15,-0.067,-9,-9,-0.136,-2,-6,+.042,+3,+3,+.321,-21
268,Purdue,-,2024-12-29,-21,@,Iowa,24,L 63-84,200,25,61,0.41,16,39,0.41,9,22,0.409,4,6,0.667,63,34,62,0.548,26,38,0.684,8,24,0.333,8,17,0.471,84,-9,-1,-0.139,-10,+1,-0.274,+1,-2,+.076,-4,-11,+.196,-21
269,Texas A&M,-,2024-11-15,-21,@,West Virginia,15,L 62-83,200,23,44,0.523,20,37,0.541,3,7,0.429,13,16,0.813,62,29,57,0.509,17,37,0.459,12,20,0.6,13,15,0.867,83,-6,-13,+.014,+3,0,+.081,-9,-13,-0.171,0,+1,-0.054,-21
270,Texas Tech,-,2025-02-08,-21,@,TCU,9,L 42-63,200,15,52,0.288,12,41,0.293,3,11,0.273,9,15,0.6,42,22,54,0.407,13,22,0.591,9,32,0.281,10,14,0.714,63,-7,-2,-0.119,-1,+19,-0.298,-6,-21,-0.009,-1,+1,-0.114,-21
271,Vanderbilt,-,2025-03-07,-21,N,South Carolina,5,L 63-84,200,23,62,0.371,17,44,0.386,6,18,0.333,11,12,0.917,63,35,64,0.547,30,53,0.566,5,11,0.455,9,12,0.75,84,-12,-2,-0.176,-13,-9,-0.18,+1,+7,-0.121,+2,0,+.167,-21
272,Wake Forest,-,2025-02-27,-21,@,NC State,9,L 57-78,200,18,54,0.333,14,34,0.412,4,20,0.2,17,23,0.739,57,28,65,0.431,17,35,0.486,11,30,0.367,11,17,0.647,78,-10,-11,-0.097,-3,-1,-0.074,-7,-10,-0.167,+6,+6,+.092,-21
273,Wisconsin,-,2025-01-26,-21,@,Minnesota,23,L 50-71,200,21,50,0.42,16,35,0.457,5,15,0.333,3,6,0.5,50,25,63,0.397,19,39,0.487,6,24,0.25,15,16,0.938,71,-4,-13,+.023,-3,-4,-0.03,-1,-9,+.083,-12,-10,-0.438,-21
274,Albany (NY),-,2024-12-29,-22,@,Louisiana State,6,L 61-83,200,21,56,0.375,15,33,0.455,6,23,0.261,13,19,0.684,61,32,72,0.444,31,59,0.525,1,13,0.077,18,21,0.857,83,-11,-16,-0.069,-16,-26,-0.071,+5,+10,+.184,-5,-2,-0.173,-22
275,Brown,-,2024-11-04,-22,@,Indiana,25,L 60-82,200,23,60,0.383,12,24,0.5,11,36,0.306,3,9,0.333,60,30,60,0.5,25,40,0.625,5,20,0.25,17,20,0.85,82,-7,0,-0.117,-13,-16,-0.125,+6,+16,+.056,-14,-11,-0.517,-22
276,UCF,-,2025-01-01,-22,@,West Virginia,18,L 58-80,200,24,56,0.429,22,46,0.478,2,10,0.2,8,13,0.615,58,28,64,0.438,19,36,0.528,9,28,0.321,15,18,0.833,80,-4,-8,-0.009,+3,+10,-0.05,-7,-18,-0.121,-7,-5,-0.218,-22
277,Colorado,-,2025-02-19,-22,,Baylor,19,L 62-84,200,23,52,0.442,20,38,0.526,3,14,0.214,13,21,0.619,62,27,65,0.415,13,34,0.382,14,31,0.452,16,21,0.762,84,-4,-13,+.027,+7,+4,+.144,-11,-17,-0.237,-3,0,-0.143,-22
278,Georgetown,-,2025-02-15,-22,@,Creighton,24,L 48-70,200,19,59,0.322,12,41,0.293,7,18,0.389,3,8,0.375,48,28,66,0.424,19,46,0.413,9,20,0.45,5,5,1,70,-9,-7,-0.102,-7,-5,-0.12,-2,-2,-0.061,-2,+3,-0.625,-22
279,Indiana State,-,2024-11-07,-22,@,Iowa State,8,L 42-64,200,15,59,0.254,12,40,0.3,3,19,0.158,9,15,0.6,42,19,64,0.297,11,28,0.393,8,36,0.222,18,23,0.783,64,-4,-5,-0.043,+1,+12,-0.093,-5,-17,-0.064,-9,-8,-0.183,-22
280,Mississippi State,-,2025-01-02,-22,@,Kentucky,16,L 69-91,200,26,73,0.356,22,58,0.379,4,15,0.267,13,18,0.722,69,26,55,0.473,8,22,0.364,18,33,0.545,21,25,0.84,91,0,+18,-0.117,+14,+36,+.016,-14,-18,-0.279,-8,-7,-0.118,-22
281,Penn State,-,2025-01-12,-22,@,Southern California,4,L 73-95,200,27,71,0.38,24,59,0.407,3,12,0.25,16,22,0.727,73,37,71,0.521,31,46,0.674,6,25,0.24,15,22,0.682,95,-10,0,-0.141,-7,+13,-0.267,-3,-13,+.010,+1,0,+.045,-22
282,Temple,-,2024-12-15,-22,,West Virginia,15,L 46-68,200,16,66,0.242,10,44,0.227,6,22,0.273,8,11,0.727,46,25,60,0.417,16,35,0.457,9,25,0.36,9,12,0.75,68,-9,+6,-0.174,-6,+9,-0.23,-3,-3,-0.087,-1,-1,-0.023,-22
283,UT Martin,-,2024-11-12,-22,,Louisville,18,L 64-86,200,20,67,0.299,14,40,0.35,6,27,0.222,18,24,0.75,64,31,54,0.574,27,42,0.643,4,12,0.333,20,29,0.69,86,-11,+13,-0.276,-13,-2,-0.293,+2,+15,-0.111,-2,-5,+.060,-22
284,Toledo,-,2024-12-01,-22,N,Maryland,10,L 70-92,200,24,53,0.453,18,36,0.5,6,17,0.353,16,27,0.593,70,38,63,0.603,36,50,0.72,2,13,0.154,14,23,0.609,92,-14,-10,-0.15,-18,-14,-0.22,+4,+4,+.199,+2,+4,-0.016,-22
285,Virginia Tech,-,2024-12-08,-22,@,Duke,8,L 59-81,200,24,55,0.436,23,48,0.479,1,7,0.143,10,15,0.667,59,33,64,0.516,25,47,0.532,8,17,0.471,7,11,0.636,81,-9,-9,-0.079,-2,+1,-0.053,-7,-10,-0.328,+3,+4,+.030,-22
286,Wisconsin,-,2025-02-05,-22,,Southern California,7,L 64-86,200,22,54,0.407,16,46,0.348,6,8,0.75,14,20,0.7,64,34,67,0.507,29,51,0.569,5,16,0.313,13,18,0.722,86,-12,-13,-0.1,-13,-5,-0.221,+1,-8,+.438,+1,+2,-0.022,-22
287,Coppin State,-,2024-11-07,-23,@,Maryland,18,L 47-70,200,18,55,0.327,13,33,0.394,5,22,0.227,6,9,0.667,47,24,59,0.407,14,34,0.412,10,25,0.4,12,15,0.8,70,-6,-4,-0.08,-1,-1,-0.018,-5,-3,-0.173,-6,-6,-0.133,-23
288,DePaul,-,2024-11-25,-23,N,Oklahoma,8,L 62-85,200,22,80,0.275,18,56,0.321,4,24,0.167,14,22,0.636,62,32,64,0.5,26,44,0.591,6,20,0.3,15,27,0.556,85,-10,+16,-0.225,-8,+12,-0.269,-2,+4,-0.133,-1,-5,+.081,-23
289,Louisiana–Monroe,-,2024-11-17,-23,,Alabama,22,L 52-75,200,18,58,0.31,17,47,0.362,1,11,0.091,15,20,0.75,52,29,65,0.446,25,39,0.641,4,26,0.154,13,22,0.591,75,-11,-7,-0.136,-8,+8,-0.279,-3,-15,-0.063,+2,-2,+.159,-23
290,Old Dominion,-,2024-11-28,-23,N,Ohio State,11,L 47-70,200,18,53,0.34,15,41,0.366,3,12,0.25,8,14,0.571,47,27,62,0.435,27,51,0.529,0,11,0,16,22,0.727,70,-9,-9,-0.096,-12,-10,-0.164,+3,+1,+.250,-8,-8,-0.156,-23
291,Texas A&M–Corpus Christi,-,2024-11-17,-23,@,Baylor,17,L 42-65,200,18,60,0.3,17,49,0.347,1,11,0.091,5,12,0.417,42,22,66,0.333,11,36,0.306,11,30,0.367,10,19,0.526,65,-4,-6,-0.033,+6,+13,+.041,-10,-19,-0.276,-5,-7,-0.11,-23
292,Troy,-,2024-11-10,-23,@,Alabama,24,L 71-94,200,25,75,0.333,17,48,0.354,8,27,0.296,13,18,0.722,71,31,71,0.437,21,39,0.538,10,32,0.313,22,35,0.629,94,-6,+4,-0.103,-4,+9,-0.184,-2,-5,-0.016,-9,-17,+.094,-23
293,Boston College,-,2025-01-30,-24,,Florida State,25,L 80-104,200,27,69,0.391,21,54,0.389,6,15,0.4,20,28,0.714,80,40,79,0.506,30,47,0.638,10,32,0.313,14,17,0.824,104,-13,-10,-0.115,-9,+7,-0.249,-4,-17,+.088,+6,+11,-0.109,-24
294,Chattanooga,-,2024-12-15,-24,@,Nebraska,24,L 42-66,200,18,53,0.34,14,34,0.412,4,19,0.211,2,4,0.5,42,26,62,0.419,17,34,0.5,9,28,0.321,5,9,0.556,66,-8,-9,-0.08,-3,0,-0.088,-5,-9,-0.111,-3,-5,-0.056,-24
295,Clemson,-,2025-01-19,-24,@,Georgia Tech,17,L 65-89,200,27,60,0.45,23,46,0.5,4,14,0.286,7,8,0.875,65,35,59,0.593,29,47,0.617,6,12,0.5,13,19,0.684,89,-8,+1,-0.143,-6,-1,-0.117,-2,+2,-0.214,-6,-11,+.191,-24
296,Florida,-,2025-02-27,-24,,Oklahoma,13,L 65-89,200,22,70,0.314,15,45,0.333,7,25,0.28,14,17,0.824,65,31,71,0.437,23,47,0.489,8,24,0.333,19,28,0.679,89,-9,-1,-0.122,-8,-2,-0.156,-1,+1,-0.053,-5,-11,+.145,-24
297,UNC Greensboro,-,2024-12-11,-24,@,North Carolina,14,L 56-80,200,22,54,0.407,17,36,0.472,5,18,0.278,7,10,0.7,56,29,65,0.446,21,49,0.429,8,16,0.5,14,20,0.7,80,-7,-11,-0.039,-4,-13,+.044,-3,+2,-0.222,-7,-10,0,-24
298,Southern Indiana,-,2024-11-08,-24,@,Louisville,17,L 51-75,200,21,56,0.375,18,41,0.439,3,15,0.2,6,12,0.5,51,29,64,0.453,21,39,0.538,8,25,0.32,9,18,0.5,75,-8,-8,-0.078,-3,+2,-0.099,-5,-10,-0.12,-3,-6,0,-24
299,SMU,-,2025-03-02,-24,,NC State,9,L 45-69,200,20,59,0.339,17,44,0.386,3,15,0.2,2,5,0.4,45,28,63,0.444,21,37,0.568,7,26,0.269,6,8,0.75,69,-8,-4,-0.105,-4,+7,-0.181,-4,-11,-0.069,-4,-3,-0.35,-24
300,SMU,-,2025-01-19,-24,@,Notre Dame,3,L 64-88,200,25,64,0.391,20,45,0.444,5,19,0.263,9,14,0.643,64,33,71,0.465,31,53,0.585,2,18,0.111,20,25,0.8,88,-8,-7,-0.074,-11,-8,-0.14,+3,+1,+.152,-11,-11,-0.157,-24
301,Alabama A&M,-,2024-11-07,-25,,Alabama,24,L 59-84,200,19,56,0.339,14,42,0.333,5,14,0.357,16,26,0.615,59,35,62,0.565,27,47,0.574,8,15,0.533,6,13,0.462,84,-16,-6,-0.225,-13,-5,-0.241,-3,-1,-0.176,+10,+13,+.154,-25
302,East Tennessee State,-,2024-11-05,-25,@,NC State,9,L 55-80,200,22,64,0.344,13,31,0.419,9,33,0.273,2,2,1,55,32,67,0.478,27,47,0.574,5,20,0.25,11,15,0.733,80,-10,-3,-0.134,-14,-16,-0.155,+4,+13,+.023,-9,-13,+.267,-25
303,Richmond,-,2024-12-20,-25,N,Tennessee,18,L 67-92,200,25,52,0.481,19,30,0.633,6,22,0.273,11,17,0.647,67,37,72,0.514,28,41,0.683,9,31,0.29,9,12,0.75,92,-12,-20,-0.033,-9,-11,-0.05,-3,-9,-0.018,+2,+5,-0.103,-25
304,Stanford,-,2025-01-19,-25,@,Duke,16,L 49-74,200,18,55,0.327,14,46,0.304,4,9,0.444,9,13,0.692,49,29,64,0.453,24,47,0.511,5,17,0.294,11,14,0.786,74,-11,-9,-0.126,-10,-1,-0.206,-1,-8,+.150,-2,-1,-0.093,-25
305,Stanford,-,2024-12-20,-25,N,Ohio State,11,L 59-84,200,23,59,0.39,21,43,0.488,2,16,0.125,11,14,0.786,59,35,70,0.5,29,49,0.592,6,21,0.286,8,13,0.615,84,-12,-11,-0.11,-8,-6,-0.103,-4,-5,-0.161,+3,+1,+.170,-25
306,Wake Forest,-,2025-02-13,-25,,Duke,13,L 47-72,200,15,35,0.429,12,23,0.522,3,12,0.25,14,16,0.875,47,30,60,0.5,27,51,0.529,3,9,0.333,9,11,0.818,72,-15,-25,-0.071,-15,-28,-0.008,0,+3,-0.083,+5,+5,+.057,-25
307,Wake Forest,-,2025-01-23,-25,@,North Carolina,13,L 51-76,200,19,40,0.475,14,26,0.538,5,14,0.357,8,12,0.667,51,30,53,0.566,22,35,0.629,8,18,0.444,8,15,0.533,76,-11,-13,-0.091,-8,-9,-0.09,-3,-4,-0.087,0,-3,+.133,-25
308,Belmont,-,2024-11-07,-26,@,Kansas State,13,L 56-82,200,21,67,0.313,17,45,0.378,4,22,0.182,10,11,0.909,56,31,60,0.517,22,38,0.579,9,22,0.409,11,14,0.786,82,-10,+7,-0.203,-5,+7,-0.201,-5,0,-0.227,-1,-3,+.123,-26
309,Boston College,-,2025-01-23,-26,,Notre Dame,3,L 63-89,200,22,68,0.324,18,48,0.375,4,20,0.2,15,18,0.833,63,35,68,0.515,28,50,0.56,7,18,0.389,12,14,0.857,89,-13,0,-0.191,-10,-2,-0.185,-3,+2,-0.189,+3,+4,-0.024,-26
310,Central Michigan,-,2024-12-08,-26,@,Iowa State,20,L 56-82,200,19,57,0.333,10,36,0.278,9,21,0.429,9,12,0.75,56,32,61,0.525,26,36,0.722,6,25,0.24,12,19,0.632,82,-13,-4,-0.191,-16,0,-0.444,+3,-4,+.189,-3,-7,+.118,-26
311,Clemson,-,2025-02-27,-26,@,Louisville,25,L 52-78,200,18,56,0.321,15,41,0.366,3,15,0.2,13,17,0.765,52,28,58,0.483,20,39,0.513,8,19,0.421,14,20,0.7,78,-10,-2,-0.161,-5,+2,-0.147,-5,-4,-0.221,-1,-3,+.065,-26
312,Coppin State,-,2024-12-08,-26,@,North Carolina,16,L 46-72,200,18,66,0.273,12,38,0.316,6,28,0.214,4,6,0.667,46,28,63,0.444,16,37,0.432,12,26,0.462,4,8,0.5,72,-10,+3,-0.172,-4,+1,-0.117,-6,+2,-0.247,0,-2,+.167,-26
313,DePaul,-,2025-01-29,-26,,Connecticut,6,L 58-84,200,23,57,0.404,16,40,0.4,7,17,0.412,5,8,0.625,58,30,65,0.462,18,43,0.419,12,22,0.545,12,14,0.857,84,-7,-8,-0.058,-2,-3,-0.019,-5,-5,-0.134,-7,-6,-0.232,-26
314,DePaul,-,2024-11-27,-26,N,Kansas State,9,L 66-92,200,24,72,0.333,17,50,0.34,7,22,0.318,11,12,0.917,66,37,77,0.481,28,47,0.596,9,30,0.3,9,11,0.818,92,-13,-5,-0.147,-11,+3,-0.256,-2,-8,+.018,+2,+1,+.098,-26
315,Florida,-,2025-03-02,-26,@,Texas,1,L 46-72,200,17,51,0.333,16,33,0.485,1,18,0.056,11,18,0.611,46,26,57,0.456,25,48,0.521,1,9,0.111,19,29,0.655,72,-9,-6,-0.123,-9,-15,-0.036,0,+9,-0.056,-8,-11,-0.044,-26
316,Middle Tennessee,-,2024-12-14,-26,N,Kansas State,13,L 48-74,200,17,60,0.283,12,42,0.286,5,18,0.278,9,12,0.75,48,21,54,0.389,10,28,0.357,11,26,0.423,21,26,0.808,74,-4,+6,-0.106,+2,+14,-0.071,-6,-8,-0.145,-12,-14,-0.058,-26
317,Minnesota,-,2025-02-02,-26,@,UCLA,1,L 53-79,200,23,58,0.397,18,40,0.45,5,18,0.278,2,4,0.5,53,30,61,0.492,17,29,0.586,13,32,0.406,6,8,0.75,79,-7,-3,-0.095,+1,+11,-0.136,-8,-14,-0.128,-4,-4,-0.25,-26
318,Providence,-,2024-12-29,-26,@,Connecticut,7,L 41-67,200,13,40,0.325,11,25,0.44,2,15,0.133,13,15,0.867,41,26,63,0.413,19,34,0.559,7,29,0.241,8,11,0.727,67,-13,-23,-0.088,-8,-9,-0.119,-5,-14,-0.108,+5,+4,+.139,-26
319,Southern,-,2024-11-12,-26,@,Nebraska,21,L 58-84,200,22,59,0.373,14,38,0.368,8,21,0.381,6,10,0.6,58,27,55,0.491,22,41,0.537,5,14,0.357,25,36,0.694,84,-5,+4,-0.118,-8,-3,-0.168,+3,+7,+.024,-19,-26,-0.094,-26
320,St. John's (NY),-,2025-01-15,-26,,Connecticut,6,L 45-71,200,17,52,0.327,12,28,0.429,5,24,0.208,6,7,0.857,45,29,51,0.569,25,37,0.676,4,14,0.286,9,11,0.818,71,-12,+1,-0.242,-13,-9,-0.247,+1,+10,-0.077,-3,-4,+.039,-26
321,Temple,-,2024-12-22,-26,@,California,24,L 63-89,200,27,66,0.409,21,50,0.42,6,16,0.375,3,4,0.75,63,33,66,0.5,17,31,0.548,16,35,0.457,7,9,0.778,89,-6,0,-0.091,+4,+19,-0.128,-10,-19,-0.082,-4,-5,-0.028,-26
322,Texas Tech,-,2025-01-11,-26,,TCU,11,L 43-69,200,13,57,0.228,11,40,0.275,2,17,0.118,15,16,0.938,43,26,52,0.5,20,34,0.588,6,18,0.333,11,14,0.786,69,-13,+5,-0.272,-9,+6,-0.313,-4,-1,-0.216,+4,+2,+.152,-26
323,Auburn,-,2025-01-02,-27,,Ole Miss,25,L 58-85,200,19,39,0.487,19,36,0.528,0,3,0,20,26,0.769,58,28,51,0.549,21,36,0.583,7,15,0.467,22,30,0.733,85,-9,-12,-0.062,-2,0,-0.056,-7,-12,-0.467,-2,-4,+.036,-27
324,Boston College,-,2025-01-02,-27,,Duke,14,L 59-86,200,21,61,0.344,18,52,0.346,3,9,0.333,14,18,0.778,59,33,63,0.524,26,49,0.531,7,14,0.5,13,22,0.591,86,-12,-2,-0.18,-8,+3,-0.184,-4,-5,-0.167,+1,-4,+.187,-27
325,Brigham Young,-,2025-01-11,-27,,Kansas State,12,L 65-92,200,25,60,0.417,18,38,0.474,7,22,0.318,8,10,0.8,65,37,71,0.521,25,45,0.556,12,26,0.462,6,7,0.857,92,-12,-11,-0.104,-7,-7,-0.082,-5,-4,-0.143,+2,+3,-0.057,-27
326,Colorado,-,2025-01-15,-27,@,West Virginia,20,L 46-73,200,18,47,0.383,14,30,0.467,4,17,0.235,6,6,1,46,27,59,0.458,19,36,0.528,8,23,0.348,11,13,0.846,73,-9,-12,-0.075,-5,-6,-0.061,-4,-6,-0.113,-5,-7,+.154,-27
327,Houston,-,2025-01-11,-27,@,Utah,22,L 42-69,200,15,58,0.259,8,42,0.19,7,16,0.438,5,9,0.556,42,30,65,0.462,24,41,0.585,6,24,0.25,3,7,0.429,69,-15,-7,-0.203,-16,+1,-0.395,+1,-8,+.188,+2,+2,+.127,-27
328,Kansas,-,2025-02-02,-27,,Kansas State,11,L 64-91,200,22,48,0.458,13,31,0.419,9,17,0.529,11,17,0.647,64,34,57,0.596,19,34,0.559,15,23,0.652,8,11,0.727,91,-12,-9,-0.138,-6,-3,-0.139,-6,-6,-0.123,+3,+6,-0.08,-27
329,Mississippi State,-,2025-01-05,-27,,South Carolina,2,L 68-95,200,27,58,0.466,23,47,0.489,4,11,0.364,10,13,0.769,68,35,65,0.538,25,44,0.568,10,21,0.476,15,17,0.882,95,-8,-7,-0.073,-2,+3,-0.079,-6,-10,-0.113,-5,-4,-0.113,-27
330,UNC Wilmington,-,2024-11-07,-27,@,North Carolina,15,L 50-77,200,17,57,0.298,12,44,0.273,5,13,0.385,11,17,0.647,50,27,74,0.365,17,44,0.386,10,30,0.333,13,27,0.481,77,-10,-17,-0.067,-5,0,-0.114,-5,-17,+.051,-2,-10,+.166,-27
